BinEdges,Frequency
7.049999999999999822e+00,1.910000000000000000e+02
2.114999999999999858e+01,0.000000000000000000e+00
3.525000000000000000e+01,0.000000000000000000e+00
4.934999999999999432e+01,1.800000000000000000e+01
6.345000000000000284e+01,1.007000000000000000e+03
7.754999999999999716e+01,3.497000000000000000e+03
9.165000000000000568e+01,1.911000000000000000e+03
1.057500000000000000e+02,2.530000000000000000e+02
1.198499999999999943e+02,4.400000000000000000e+01
1.339499999999999886e+02,2.000000000000000000e+00
