BinEdges,Frequency
1.040000000000000036e+01,2.510000000000000000e+02
3.120000000000000284e+01,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00
7.280000000000001137e+01,0.000000000000000000e+00
9.359999999999999432e+01,1.840000000000000000e+02
1.144000000000000057e+02,3.227000000000000000e+03
1.351999999999999886e+02,2.792000000000000000e+03
1.560000000000000000e+02,4.370000000000000000e+02
1.768000000000000114e+02,2.600000000000000000e+01
1.976000000000000227e+02,6.000000000000000000e+00
