BinEdges,Frequency
4.390733250110353936e+01,7.700000000000000000e+01
5.225147860353040841e+01,6.990000000000000000e+02
6.059562470595728456e+01,9.940000000000000000e+02
6.893977080838416782e+01,1.848000000000000000e+03
7.728391691081102977e+01,1.519000000000000000e+03
8.562806301323789171e+01,9.460000000000000000e+02
9.397220911566478208e+01,5.750000000000000000e+02
1.023163552180916440e+02,2.010000000000000000e+02
1.106605013205185202e+02,5.200000000000000000e+01
1.190046474229453963e+02,1.200000000000000000e+01
