BinEdges,Frequency
8.851512207278436506e+01,1.100000000000000000e+01
8.972405659143863943e+01,1.700000000000000000e+01
9.093299111009292801e+01,3.600000000000000000e+01
9.214192562874720238e+01,5.800000000000000000e+01
9.335086014740147675e+01,1.060000000000000000e+02
9.455979466605575112e+01,1.450000000000000000e+02
9.576872918471002549e+01,5.900000000000000000e+02
9.697766370336429986e+01,1.493000000000000000e+03
9.818659822201858844e+01,1.528000000000000000e+03
9.939553274067286281e+01,2.268000000000000000e+03
